,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
989,Michigan State Spartans,Big Ten,0,49,1,0,0,0,78.98,51.08,,Win
990,Wisconsin Badgers,Big Ten,0,56,1,0,0,0,82.03999999999999,48.92,14,Win
991,Illinois Fighting Illini,Big Ten,0,33,1,0,0,0,86.0,57.92,,Win
992,East Carolina Pirates,American,0,24,1,0,0,0,91.94,66.92,,Win
993,Kansas State Wildcats,Big 12,0,35,1,0,0,0,91.22,67.28,,Win
994,Colorado Buffaloes,Pac-12,0,31,1,0,0,0,,,,Win
995,Ohio Bobcats,Mid-American,0,16,1,0,0,0,82.03999999999999,57.019999999999996,,Win
996,Nevada Wolf Pack,Mountain West,0,21,1,0,0,0,64.94,42.08,36,Lose
997,Ohio State Buckeyes,Big Ten,0,22,1,0,0,0,84.92,,,Lose
998,Michigan Wolverines,Big Ten,0,10,1,0,0,0,84.02,55.94,,Lose
999,Arizona State Sun Devils,Pac-12,0,31,1,0,0,0,105.08,82.94,,Lose
1000,Duke Blue Devils,ACC,0,0,1,0,0,0,84.92,57.92,,Lose
1001,Iowa State Cyclones,Big 12,0,23,1,0,0,0,87.98,62.96,47,Win
1002,Georgia Bulldogs,SEC,0,17,1,0,0,0,89.06,62.96,34,Win
1003,Florida Gators,SEC,0,41,1,0,0,0,89.96000000000001,66.92,31,Win
1004,Florida State Seminoles,ACC,79152,62,1,0,0,0,91.94,60.980000000000004,22,Win
1005,Purdue Boilermakers,Big Ten,0,49,1,0,0,0,91.03999999999999,64.94,25,Win
1006,Georgia Tech Yellow Jackets,ACC,0,27,1,0,0,0,,,,Win
1007,Oklahoma Sooners,Big 12,0,31,1,0,0,0,,,,Win
1008,Boston College Eagles,ACC,0,44,1,0,0,0,,,,Win
1009,Texas Tech Red Raiders,Big 12,0,56,1,0,0,0,89.96000000000001,62.06,62,Win
1010,SMU Mustangs,American,0,21,1,0,0,0,,,,Win
1011,Fresno State Bulldogs,Mountain West,38156,55,1,0,0,0,78.08000000000001,48.92,,Win
1012,Maryland Terrapins,Big Ten,0,24,1,0,0,0,84.92,60.980000000000004,,Lose
1013,Marshall Thundering Herd,Conference USA,0,19,1,0,0,0,80.06,55.040000000000006,,Lose
1014,Wisconsin Badgers,Big Ten,0,65,1,0,0,0,91.94,66.02,40,Win
1015,Penn State Nittany Lions,Big Ten,0,42,1,0,0,0,78.08000000000001,55.94,,Win
1016,Auburn Tigers,SEC,0,28,1,0,0,0,87.08000000000001,62.96,,Win
1017,Liberty Flames,FBS Independents,40000,0,0,0,0,0,,,,Lose
1018,UMass Minutemen,FBS Independents,3417,14,0,0,0,0,,,,Lose
1019,Illinois Fighting Illini,Big Ten,0,40,1,0,0,0,93.92,64.03999999999999,,Win
1020,Air Force Falcons,Mountain West,0,41,1,0,0,0,93.02,60.980000000000004,,Win
1021,UTEP Miners,Conference USA,0,44,1,0,0,0,95.0,66.92,36,Win
1022,USC Trojans,Pac-12,0,70,1,0,0,0,77.0,60.980000000000004,9,Win
1023,Texas Longhorns,Big 12,0,51,1,0,0,0,,,,Win
1024,Virginia Tech Hokies,ACC,0,45,1,0,0,0,87.08000000000001,59.0,,Win
1025,Florida Gators,SEC,0,16,1,0,0,0,93.02,71.96000000000001,17,Win
1026,Georgia Bulldogs,SEC,0,44,1,0,0,0,91.03999999999999,68.0,18,Win
1027,Boston College Eagles,ACC,0,17,1,0,0,0,,,,Lose
1028,Ohio State Buckeyes,Big Ten,0,27,1,0,0,0,71.06,60.980000000000004,,Win
1029,Louisville Cardinals,ACC,0,63,1,0,0,0,75.02,62.96,24,Win
1030,Arizona Wildcats,Pac-12,0,24,1,0,0,0,100.03999999999999,66.02,34,Lose
1031,Clemson Tigers,ACC,0,30,1,0,0,0,87.98,66.92,,Lose
1032,Michigan Wolverines,Big Ten,0,55,1,0,0,0,69.98,59.0,,Win
1033,California Golden Bears,Pac-12,0,35,1,0,0,0,69.98,51.980000000000004,,Win
1034,Georgia Tech Yellow Jackets,ACC,0,28,1,0,0,0,,,,Win
1035,Arizona State Sun Devils,Pac-12,0,52,1,0,0,0,,69.08000000000001,,Win
1036,Texas Tech Red Raiders,Big 12,50171,80,1,0,0,0,98.06,64.94,61,Win
1037,UCLA Bruins,Pac-12,0,41,1,0,0,0,,,,Win
1038,Iowa Hawkeyes,Big Ten,70585,45,1,0,0,0,82.03999999999999,46.04,,Win
1039,Oregon Ducks,Pac-12,0,37,1,0,0,0,69.08000000000001,46.04,18,Win
1040,Syracuse Orange,ACC,0,24,1,0,0,0,68.0,60.980000000000004,31,Lose
